filepath,filename,emotion,label,actor_id,sample_rate,num_channels,duration,dataset,source,split
audio/hindi_00433.wav,hindi_00433.wav,calm,1,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00555.wav,hindi_00555.wav,neutral,0,hi_spk07,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00169.wav,hindi_00169.wav,sad,3,hi_kahanisuno,16000,1,7.6,hindi,vaani,train
audio/hindi_00452.wav,hindi_00452.wav,calm,1,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00422.wav,hindi_00422.wav,calm,1,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00794.wav,hindi_00794.wav,neutral,0,rapidorc_spk_1,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00148.wav,hindi_00148.wav,angry,4,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00378.wav,hindi_00378.wav,neutral,0,hi_spk04,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00570.wav,hindi_00570.wav,calm,1,hi_spk07,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00376.wav,hindi_00376.wav,neutral,0,hi_spk04,16000,1,2.517,hindi,sarthwa8,train
audio/hindi_00172.wav,hindi_00172.wav,angry,4,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00688.wav,hindi_00688.wav,calm,1,rapidorc_spk_2,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00665.wav,hindi_00665.wav,calm,1,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00254.wav,hindi_00254.wav,sad,3,hi_kahanisuno,16000,1,7.0,hindi,vaani,train
audio/hindi_00178.wav,hindi_00178.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00726.wav,hindi_00726.wav,happy,2,rapidorc_spk_2,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00630.wav,hindi_00630.wav,angry,4,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00711.wav,hindi_00711.wav,happy,2,rapidorc_spk_1,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00431.wav,hindi_00431.wav,calm,1,hi_spk05,16000,1,5.051,hindi,sarthwa8,train
audio/hindi_00299.wav,hindi_00299.wav,calm,1,hi_spk02,16000,1,2.768,hindi,sarthwa8,train
audio/hindi_00609.wav,hindi_00609.wav,angry,4,rapidorc_spk_2,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00504.wav,hindi_00504.wav,neutral,0,hi_spk06,16000,1,3.645,hindi,sarthwa8,train
audio/hindi_00462.wav,hindi_00462.wav,sad,3,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00852.wav,hindi_00852.wav,sad,3,rapidorc_spk_3,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00084.wav,hindi_00084.wav,neutral,0,hi_kahanisuno,16000,1,7.4,hindi,vaani,train
audio/hindi_00025.wav,hindi_00025.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00646.wav,hindi_00646.wav,angry,4,rapidorc_spk_1,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00677.wav,hindi_00677.wav,calm,1,rapidorc_spk_1,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00595.wav,hindi_00595.wav,sad,3,hi_spk07,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00365.wav,hindi_00365.wav,neutral,0,hi_spk04,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00447.wav,hindi_00447.wav,sad,3,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00458.wav,hindi_00458.wav,calm,1,hi_spk05,16000,1,4.816,hindi,sarthwa8,train
audio/hindi_00584.wav,hindi_00584.wav,calm,1,hi_spk07,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00774.wav,hindi_00774.wav,neutral,0,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00745.wav,hindi_00745.wav,happy,2,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00065.wav,hindi_00065.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00668.wav,hindi_00668.wav,calm,1,rapidorc_spk_0,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00487.wav,hindi_00487.wav,sad,3,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00202.wav,hindi_00202.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00092.wav,hindi_00092.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00443.wav,hindi_00443.wav,sad,3,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00094.wav,hindi_00094.wav,angry,4,hi_kahanisuno,16000,1,7.8,hindi,vaani,train
audio/hindi_00827.wav,hindi_00827.wav,sad,3,rapidorc_spk_0,16000,1,4.0,hindi,rapidorc,train
audio/hindi_00858.wav,hindi_00858.wav,sad,3,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00269.wav,hindi_00269.wav,angry,4,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00434.wav,hindi_00434.wav,calm,1,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00038.wav,hindi_00038.wav,neutral,0,hi_kahanisuno,16000,1,7.8,hindi,vaani,train
audio/hindi_00678.wav,hindi_00678.wav,calm,1,rapidorc_spk_1,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00245.wav,hindi_00245.wav,angry,4,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00050.wav,hindi_00050.wav,neutral,0,hi_kahanisuno,16000,1,5.0,hindi,vaani,train
audio/hindi_00113.wav,hindi_00113.wav,neutral,0,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
audio/hindi_00201.wav,hindi_00201.wav,neutral,0,hi_kahanisuno,16000,1,7.2,hindi,vaani,train
audio/hindi_00453.wav,hindi_00453.wav,calm,1,hi_spk05,16000,1,8.0,hindi,sarthwa8,train
audio/hindi_00813.wav,hindi_00813.wav,sad,3,rapidorc_spk_4,16000,1,8.0,hindi,rapidorc,train
audio/hindi_00253.wav,hindi_00253.wav,sad,3,hi_kahanisuno,16000,1,8.0,hindi,vaani,train
