filepath,original_filepath,filename,modality,vocal_channel,emotion_id,emotion,intensity_id,intensity,statement_id,statement,repetition_id,repetition,actor_id,label,duration,sample_rate,num_channels,split,audio_hash
audio/Actor_01/03-01-01-01-01-01-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,3,1,1,neutral,1,normal,1,statement_1,1,first,1,0,3.303313,16000,1,train,cc56eda578daa276d3dd4907142b9e87b3666a949b0cd89f35aa547a8c1da595
audio/Actor_01/03-01-01-01-01-02-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,3,1,1,neutral,1,normal,1,statement_1,2,second,1,0,3.336688,16000,1,train,303361e7d1ff9bc0ebf1bc80e506de264827651c6fffde0a37aeb0cc79ff7786
audio/Actor_01/03-01-01-01-02-01-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,3,1,1,neutral,1,normal,2,statement_2,1,first,1,0,3.269938,16000,1,train,806880752ea71f128cbc2ee67008d89e8b5e9a6c8260a178923805e39e305136
audio/Actor_01/03-01-01-01-02-02-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,3,1,1,neutral,1,normal,2,statement_2,2,second,1,0,3.169875,16000,1,train,9a263fdc5c3feede6f4eb7eb1864aa2d617c0905c5356ed5b3e808da7ddd9e62
audio/Actor_01/03-01-02-01-01-01-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,3,1,2,calm,1,normal,1,statement_1,1,first,1,1,3.536875,16000,1,train,fa511d2e450ba4d710f2d3a5b21ef1973f0c1690e6b7f9310afd79c76dcde36d
audio/Actor_01/03-01-02-01-01-02-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,3,1,2,calm,1,normal,1,statement_1,2,second,1,1,3.603625,16000,1,train,05b81e300be17a63323c545bd62a969c6564d0d73c4ca581b36261ad3d844035
audio/Actor_01/03-01-02-01-02-01-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,3,1,2,calm,1,normal,2,statement_2,1,first,1,1,3.5035,16000,1,train,b86b3302cfe20a9ecbc11c10c41e1559042a8828414b7747eb7a78f2648dc6d6
audio/Actor_01/03-01-02-01-02-02-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,3,1,2,calm,1,normal,2,statement_2,2,second,1,1,3.470188,16000,1,train,6d27cc4cdc0f5fbedb99eac1eec043637ad6f9b6a6a8996f13a16dea4376361a
audio/Actor_01/03-01-02-02-01-01-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,3,1,2,calm,2,strong,1,statement_1,1,first,1,1,3.70375,16000,1,train,67b02548c2b2289469e1bc32b5639f7cf3e29fcca77eeeb96088da3187017ca6
audio/Actor_01/03-01-02-02-01-02-01.wav,/Users/himanshipatel/Documents/Project/sem_3/Speech_audio_emotion/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,3,1,2,calm,2,strong,1,statement_1,2,second,1,1,4.004,16000,1,train,1604c0089e918da1988b4f7040fc55b632692efcf3d6fbb89c581b245af04791
