filepath,filename,emotion,label,actor_id,sentence,intensity,sample_rate,num_channels,duration,split,audio_hash
audio/1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,angry,3,1001,DFA,XX,16000,1,2.2755625,train,c6f94b2592487c7556bd86df7df6e8f4420d1b9c11414aeec9d8e5e640b51495
audio/1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,disgust,5,1001,DFA,XX,16000,1,2.3356875,train,c992e624c48a6119b5635ef7b606aea28d45d02c397b9bd85f7e5a2c2656ac65
audio/1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,fearful,4,1001,DFA,XX,16000,1,2.1688125,train,cc84aa476b106f71364c079ac3cf08448d2bc0b5ac79deb7ec10cbe69c19d74c
audio/1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,happy,1,1001,DFA,XX,16000,1,1.8685,train,91d63d7a792a37b2ff8ac6267d3e5364bc1b10d5b0e0be288c0af0534d4fdae5
audio/1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,neutral,0,1001,DFA,XX,16000,1,2.035375,train,95e32bd83c449d26afb653c5451fa0389a83b1245c24385778cd02a18cb50cb6
audio/1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,sad,2,1001,DFA,XX,16000,1,2.002,train,c75f74e03ae5783830733519c806c85996ca0bd833e17b535f8830166bc002e9
audio/1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,angry,3,1001,IEO,HI,16000,1,1.93525,train,a6a173a924668940761223ce19a99045785f5c55a8689c7123ae8fcd9230c39a
audio/1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,angry,3,1001,IEO,LO,16000,1,2.06875,train,a0e54c13646df74563d0488bd52328dfd10fffbaaa4138d06c3e4a54b7b1ea16
audio/1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,angry,3,1001,IEO,MD,16000,1,2.6359375,train,f1d2b5440f632a72b72521442e0837e00813e40424aa6db980b70fc84bd37e08
audio/1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,disgust,5,1001,IEO,HI,16000,1,2.002,train,d774cbef209040c3820368e8d973801cb30fb41013bccbf9483a23d634072cfe
audio/1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,disgust,5,1001,IEO,LO,16000,1,2.002,train,3c065550821452ad42c24ea006a759d05a34ef17e4e5e9beee37f7788709a7ce
audio/1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,disgust,5,1001,IEO,MD,16000,1,1.901875,train,5a3316464e9cfd926737f3e183956fcaf7bc2ddb3d9205c9f4e72aa937bf1fe3
audio/1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,fearful,4,1001,IEO,HI,16000,1,1.56825,train,eae62b31e0c80e146c05ee7123da613a6238a0f388e883fef3bcb271979dc5d3
audio/1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,fearful,4,1001,IEO,LO,16000,1,1.534875,train,f60f9b4631023f02eb962750414ccfa73bcee72e19cd487b5a67ba500db26c76
