filepath,filename,actor_id,actor_code,word,emotion,label,sample_rate,num_channels,duration,num_samples,file_size,sha256,split
audio/OAF_back_fear.wav,OAF_back_fear.wav,1,OAF,back,fear,2,16000,1,1.7271,27634,55312,16451453560f702703b035eb491d6179d08842df54605896a2a30b56f3a3ea46,train
audio/OAF_bar_fear.wav,OAF_bar_fear.wav,1,OAF,bar,fear,2,16000,1,1.6897,27035,54114,2260868dc2a1ed82a7097bb83890c4d7e21025ede9f638c4f0d0461b827b1c6c,test
audio/OAF_base_fear.wav,OAF_base_fear.wav,1,OAF,base,fear,2,16000,1,1.8691,29906,59856,023448727a3eb748249a3b9a8eb67807ea6fe21c7467b19311d510e53d3dba11,train
audio/OAF_bath_fear.wav,OAF_bath_fear.wav,1,OAF,bath,fear,2,16000,1,1.7752,28403,56850,35a5be3043beae4523d4ec787932fcfcc360a1cca9a80c7900d98896d234bd9a,train
audio/OAF_bean_fear.wav,OAF_bean_fear.wav,1,OAF,bean,fear,2,16000,1,1.6052,25683,51410,e0bed1d5f1d387c600df29beb6d249383f7d75a138890890dd7dbb0e4ab6a1bc,train
audio/OAF_beg_fear.wav,OAF_beg_fear.wav,1,OAF,beg,fear,2,16000,1,1.6636,26617,53278,1012ff9aa755ebe64545564e5f437aa62adcd7c89f7d9aad3f6453b8b20ff2cb,train
audio/OAF_bite_fear.wav,OAF_bite_fear.wav,1,OAF,bite,fear,2,16000,1,1.3083,20933,41910,c1eb5c5a191e2fb89fefab8f677fd10075e3813375dba48cac87cf0b68d4e4eb,train
audio/OAF_boat_fear.wav,OAF_boat_fear.wav,1,OAF,boat,fear,2,16000,1,1.5149,24239,48522,e7209feab55a9766cd5036702771378bc72506466ee854a25bb7c56bab463d4b,validation
audio/OAF_bone_fear.wav,OAF_bone_fear.wav,1,OAF,bone,fear,2,16000,1,1.3869,22191,44426,f38f7efa7ea6d5942e13405eba2f45dac483eb74d1a30ae154186866e69df768,validation
audio/OAF_book_fear.wav,OAF_book_fear.wav,1,OAF,book,fear,2,16000,1,1.4481,23169,46382,2759ad50c476ef9a4701a4d9f27ed3ad88c966605d71f04ee4454d3c32d1e5d1,train
audio/OAF_bought_fear.wav,OAF_bought_fear.wav,1,OAF,bought,fear,2,16000,1,1.4033,22452,44948,a26fe364b3b565f77f6be5992836ad70a6066c0e8ce7e17c40b1c6fd19e27796,train
audio/OAF_burn_fear.wav,OAF_burn_fear.wav,1,OAF,burn,fear,2,16000,1,1.4536,23257,46558,754998b6183da64b19e34727f065bfbe451c3f272ba14f68e8b0e4fcddbcb91f,train
audio/OAF_cab_fear.wav,OAF_cab_fear.wav,1,OAF,cab,fear,2,16000,1,1.6578,26524,53092,fcf185a24253e6e309204b0cc4d99e75b2498cbb8b5f8cc5e2559adab6d5b3e7,train
audio/OAF_calm_fear.wav,OAF_calm_fear.wav,1,OAF,calm,fear,2,16000,1,1.458,23328,46700,a0e955cc4e793458963e673da232d5d977e73cc7e403ab7522b640257139a1ab,validation
audio/OAF_came_fear.wav,OAF_came_fear.wav,1,OAF,came,fear,2,16000,1,1.5735,25176,50396,a66df69cdd776125479e2245033e20efb3954729dde5d35da76919cb3a62b1d3,test
audio/OAF_cause_fear.wav,OAF_cause_fear.wav,1,OAF,cause,fear,2,16000,1,1.6944,27111,54266,cef9c19ed0f6c3677f1ac9b470b57401c89a2adf0f1a969b76c96283955222c5,train
audio/OAF_chain_fear.wav,OAF_chain_fear.wav,1,OAF,chain,fear,2,16000,1,1.4238,22780,45604,9d3c70361abb47446646acc22845027a1b81794ef1eaa5c14dcd6dc12e032236,train
audio/OAF_chair_fear.wav,OAF_chair_fear.wav,1,OAF,chair,fear,2,16000,1,1.6869,26991,54026,e095e21900724b8b12dae667df3cb588404ad3b4b267319e663873ed86a2eaa6,validation
audio/OAF_chalk_fear.wav,OAF_chalk_fear.wav,1,OAF,chalk,fear,2,16000,1,1.5799,25279,50602,83f2737855f3768debaadaec26dc7ecd347333a810a1fb272544caf2ce59332c,train
audio/OAF_chat_fear.wav,OAF_chat_fear.wav,1,OAF,chat,fear,2,16000,1,1.6823,26916,53876,be62f91e7eeefeef9cfd18467a526a47ad86dadb59b1503e1736495bddc48e63,train
audio/OAF_check_fear.wav,OAF_check_fear.wav,1,OAF,check,fear,2,16000,1,1.4512,23220,46484,975c38fc200e6d227fcfaa929f96465eb634ddf9343ee3cd93851bf8583cf77b,test
audio/OAF_cheek_fear.wav,OAF_cheek_fear.wav,1,OAF,cheek,fear,2,16000,1,1.7091,27346,54736,219de65c68fa95bfbd45497f7e9880024a0d760362e591805175446cf91b9448,test
audio/OAF_chief_fear.wav,OAF_chief_fear.wav,1,OAF,chief,fear,2,16000,1,1.7299,27679,55402,cdbabb1c1b03c4470bb43ec9485c57906eecc5d6d855a08ed402c1988f211052,train
audio/OAF_choice_fear.wav,OAF_choice_fear.wav,1,OAF,choice,fear,2,16000,1,1.6561,26498,53040,e5db0521e52fef1113337364b6dd9dbbecb9a06ade9715a20f62325e040e130a,train
audio/OAF_cool_fear.wav,OAF_cool_fear.wav,1,OAF,cool,fear,2,16000,1,1.6047,25675,51394,7413d3de1a268744e07b93bd38b599ccf558748c6bec7af3eafba4206c55229a,train
audio/OAF_dab_fear.wav,OAF_dab_fear.wav,1,OAF,dab,fear,2,16000,1,1.4964,23942,47928,a6d74d86c8e12b986bc3468448a28f6635257382b61fcc42d32c5e4660de3901,train
audio/OAF_date_fear.wav,OAF_date_fear.wav,1,OAF,date,fear,2,16000,1,1.5777,25244,50532,f4ffbf5f4552fcdf45f54135a2e77d202dbacf34a757ef92c2433c8ac0004f0d,train
audio/OAF_dead_fear.wav,OAF_dead_fear.wav,1,OAF,dead,fear,2,16000,1,1.5021,24034,48112,3221adb97f2c5e9b209a9ad75d8e1999eed957557f0a6852469f032d1f45f2a8,train
audio/OAF_death_fear.wav,OAF_death_fear.wav,1,OAF,death,fear,2,16000,1,1.4557,23291,46626,c36cecbb1e9c4eb05c6253bf7feaae01d55e5e3440468453792a9d3a727e4d70,train
audio/OAF_deep_fear.wav,OAF_deep_fear.wav,1,OAF,deep,fear,2,16000,1,1.6156,25849,51742,f89a51b118798ed27674f0ca94bc3ae31ecdb5aec8e65202efaf79f7fd32adfa,train
audio/OAF_dime_fear.wav,OAF_dime_fear.wav,1,OAF,dime,fear,2,16000,1,1.6011,25618,51280,e6bd1e1e687d100d0690c0669683bee1affac655f89e2f629f4d02d5453ec99b,train
audio/OAF_dip_fear.wav,OAF_dip_fear.wav,1,OAF,dip,fear,2,16000,1,1.3964,22343,44730,484add789e336b0362f89da0ee59d550d199fc9d875a5b432f2c28214f04642d,train
