filepath,filename,emotion,label,actor_id,sample_rate,num_channels,duration,split,dataset
audio/cremad/1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,angry,3,1001,16000,1,2.2755625,train,cremad
audio/cremad/1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,disgust,5,1001,16000,1,2.3356875,train,cremad
audio/cremad/1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,fear,4,1001,16000,1,2.1688125,train,cremad
audio/cremad/1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,happy,1,1001,16000,1,1.8685,train,cremad
audio/cremad/1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,neutral,0,1001,16000,1,2.035375,train,cremad
audio/cremad/1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,sad,2,1001,16000,1,2.002,train,cremad
audio/cremad/1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,angry,3,1001,16000,1,1.93525,train,cremad
audio/cremad/1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,angry,3,1001,16000,1,2.06875,train,cremad
audio/cremad/1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,angry,3,1001,16000,1,2.6359375,train,cremad
audio/cremad/1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,disgust,5,1001,16000,1,2.002,train,cremad
audio/cremad/1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,disgust,5,1001,16000,1,2.002,train,cremad
audio/cremad/1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,disgust,5,1001,16000,1,1.901875,train,cremad
audio/cremad/1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,fear,4,1001,16000,1,1.56825,train,cremad
audio/cremad/1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,fear,4,1001,16000,1,1.534875,train,cremad
audio/cremad/1001_IEO_FEA_MD.wav,1001_IEO_FEA_MD.wav,fear,4,1001,16000,1,1.601625,train,cremad
audio/cremad/1001_IEO_HAP_HI.wav,1001_IEO_HAP_HI.wav,happy,1,1001,16000,1,1.7684375,train,cremad
audio/cremad/1001_IEO_HAP_LO.wav,1001_IEO_HAP_LO.wav,happy,1,1001,16000,1,1.7016875,train,cremad
audio/cremad/1001_IEO_HAP_MD.wav,1001_IEO_HAP_MD.wav,happy,1,1001,16000,1,1.6683125,train,cremad
audio/cremad/1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,neutral,0,1001,16000,1,1.601625,train,cremad
audio/cremad/1001_IEO_SAD_HI.wav,1001_IEO_SAD_HI.wav,sad,2,1001,16000,1,2.002,train,cremad
audio/cremad/1001_IEO_SAD_LO.wav,1001_IEO_SAD_LO.wav,sad,2,1001,16000,1,1.901875,train,cremad
audio/cremad/1001_IEO_SAD_MD.wav,1001_IEO_SAD_MD.wav,sad,2,1001,16000,1,1.7350625,train,cremad
audio/cremad/1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,angry,3,1001,16000,1,2.1354375,train,cremad
audio/cremad/1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,disgust,5,1001,16000,1,2.2689375,train,cremad
audio/cremad/1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,fear,4,1001,16000,1,2.8361875,train,cremad
audio/cremad/1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,happy,1,1001,16000,1,2.002,train,cremad
audio/cremad/1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,neutral,0,1001,16000,1,2.469125,train,cremad
audio/cremad/1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,sad,2,1001,16000,1,1.93525,train,cremad
audio/cremad/1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,angry,3,1001,16000,1,2.369,train,cremad
audio/cremad/1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,disgust,5,1001,16000,1,2.1688125,train,cremad
audio/cremad/1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,fear,4,1001,16000,1,2.102125,train,cremad
audio/cremad/1001_ITH_HAP_XX.wav,1001_ITH_HAP_XX.wav,happy,1,1001,16000,1,2.469125,train,cremad
audio/cremad/1001_ITH_NEU_XX.wav,1001_ITH_NEU_XX.wav,neutral,0,1001,16000,1,2.602625,train,cremad
audio/cremad/1001_ITH_SAD_XX.wav,1001_ITH_SAD_XX.wav,sad,2,1001,16000,1,2.369,train,cremad
audio/cremad/1001_ITS_ANG_XX.wav,1001_ITS_ANG_XX.wav,angry,3,1001,16000,1,2.56925,train,cremad
audio/cremad/1001_ITS_DIS_XX.wav,1001_ITS_DIS_XX.wav,disgust,5,1001,16000,1,2.2021875,train,cremad
audio/cremad/1001_ITS_FEA_XX.wav,1001_ITS_FEA_XX.wav,fear,4,1001,16000,1,2.1354375,train,cremad
audio/cremad/1001_ITS_HAP_XX.wav,1001_ITS_HAP_XX.wav,happy,1,1001,16000,1,2.2021875,train,cremad
